NAMESPACE            NAME                                                 READY   STATUS                   RESTARTS       AGE     IP              NODE                         NOMINATED NODE   READINESS GATES
tigera-operator      tigera-operator-7fc95779c7-24dzd                     0/1     Evicted                  0              12h     <none>          hostname-txyuq.foreman.pxe   <none>           <none>
tigera-operator      tigera-operator-7fc95779c7-24h2p                     0/1     Evicted                  0              12h     <none>          hostname-txyuq.foreman.pxe   <none>           <none>
tigera-operator      tigera-operator-7fc95779c7-24n68                     0/1     Evicted                  0              12h     <none>          hostname-txyuq.foreman.pxe   <none>           <none>
tigera-operator      tigera-operator-7fc95779c7-24tsp                     0/1     Evicted                  0              12h     <none>          hostname-txyuq.foreman.pxe   <none>           <none>
tigera-operator      tigera-operator-7fc95779c7-24vzl                     0/1     Evicted                  0              12h     <none>          hostname-txyuq.foreman.pxe   <none>           <none>
tigera-operator      tigera-operator-7fc95779c7-254zq                     0/1     Evicted                  0              12h     <none>          hostname-txyuq.foreman.pxe   <none>           <none>
tigera-operator      tigera-operator-7fc95779c7-258rk                     0/1     Evicted                  0              12h     <none>          hostname-txyuq.foreman.pxe   <none>           <none>
tigera-operator      tigera-operator-7fc95779c7-25bt5                     0/1     Evicted                  0              12h     <none>          hostname-txyuq.foreman.pxe   <none>           <none>
tigera-operator      tigera-operator-7fc95779c7-25ckv                     0/1     Evicted                  0              12h     <none>          hostname-txyuq.foreman.pxe   <none>           <none>
tigera-operator      tigera-operator-7fc95779c7-25j5x                     0/1     Evicted                  0              12h     <none>          hostname-txyuq.foreman.pxe   <none>           <none>
tigera-operator      tigera-operator-7fc95779c7-25jm2                     0/1     Evicted                  0              12h     <none>          hostname-txyuq.foreman.pxe   <none>           <none>
tigera-operator      tigera-operator-7fc95779c7-25mf8                     0/1     Evicted                  0              12h     <none>          hostname-txyuq.foreman.pxe   <none>           <none>
tigera-operator      tigera-operator-7fc95779c7-25pg7                     0/1     Evicted                  0              12h     <none>          hostname-txyuq.foreman.pxe   <none>           <none>
tigera-operator      tigera-operator-7fc95779c7-25pz2                     0/1     Evicted                  0              12h     <none>          hostname-txyuq.foreman.pxe   <none>           <none>
tigera-operator      tigera-operator-7fc95779c7-25q2q                     0/1     Evicted                  0              12h     <none>          hostname-txyuq.foreman.pxe   <none>           <none>
tigera-operator      tigera-operator-7fc95779c7-25q7r                     0/1     Evicted                  0              12h     <none>          hostname-txyuq.foreman.pxe   <none>           <none>
tigera-operator      tigera-operator-7fc95779c7-25shx                     0/1     Evicted                  0              12h     <none>          hostname-txyuq.foreman.pxe   <none>           <none>
tigera-operator      tigera-operator-7fc95779c7-25wpq                     0/1     Evicted                  0              12h     <none>          hostname-txyuq.foreman.pxe   <none>           <none>
